doc_id,primary_tag,question
q10661-a10667,pizza-stone,Do I need to season a new pizza stone before baking
q10661-a10667,pizza-stone,How to prepare a pizza stone for first use
q10661-a10667,pizza-stone,Why does my pizza stone need to be washed before using it
q3012-a3019,butter,why does my melted chocolate turn into solid globs when mixed with butter
q3012-a3019,butter,how can I melt chocolate and butter together without them separating
q3012-a3019,butter,why does chocolate seize up when I try to melt it with margarine
q28143-a56672,popcorn,why is my homemade popcorn all weird shapes
q28143-a56672,popcorn,how do i get my popcorn to pop into round balls
q28143-a56672,popcorn,why does store bought popcorn look different from mine
q6260-a6261,menu-planning,why do we eat salad before the main course in north america
q6260-a6261,menu-planning,how to plan a traditional multi course meal
q6260-a6261,menu-planning,where did the custom of serving salad before the main course originate
q100051-a100052,storage-method,why do my blackberries go bad so quickly
q100051-a100052,storage-method,how to store blackberries to prevent mold
q100051-a100052,storage-method,can i still eat blackberries if some of them have white mold on them
q6127-a6154,cauliflower,how to get rid of worms in cauliflower
q6127-a6154,cauliflower,what's the best way to soak cauliflower before cooking
q6127-a6154,cauliflower,why do I need to soak cauliflower in salty water
q122840-a122865,asparagus,how do i trim the ends off fresh asparagus
q122840-a122865,asparagus,why do chefs cut off the bottom of asparagus spears
q122840-a122865,asparagus,what's the best way to remove woody stems from green asparagus
q96545-a96546,cutting-boards,how to get chopped food from cutting board to bowl without making a mess
q96545-a96546,cutting-boards,what's the best way to transfer minced garlic to a small dish
q96545-a96546,cutting-boards,why does food keep falling off the counter when i try to scrape it into a bowl
q11075-a11079,resources,"I'm single and want to start cooking healthy meals just for myself, what are some good cookbooks for that?"
q11075-a11079,resources,How can I find recipes and cookbooks that cater to solo cooking without having to eat the same thing for days?
q11075-a11079,resources,Why are cookbooks for one person hard to find and are there any that offer simple and varied recipes?
q43353-a43364,spaghetti,How can I keep large quantities of cooked pasta warm for a long period of time
q43353-a43364,spaghetti,What's the best way to reheat cooked pasta for a crowd without overcooking it
q43353-a43364,spaghetti,Why is it better to heat up cooked pasta in sauce rather than water
q15035-a15036,meatballs,why do meatballs with breadcrumbs stay moister
